293	7995378039807641201.wav	ከእሳተ-ገሞራ እንቅስቃሴ ጋር ምንም ግንኙነት የሌላቸው ደመናዎች በተራራው ግርጌ መታየታቸው ተዘግቧል።	ከእሳተ-ገሞራ እንቅስቃሴ ጋር ምንም ግንኙነት የሌላቸው ደመናዎች በተራራው ግርጌ መታየታቸው ተዘግቧል	ከ እ ሳ ተ - ገ ሞ ራ | እ ን ቅ ስ ቃ ሴ | ጋ ር | ም ን ም | ግ ን ኙ ነ ት | የ ሌ ላ ቸ ው | ደ መ ና ዎ ች | በ ተ ራ ራ ው | ግ ር ጌ | መ ታ የ ታ ቸ ው | ተ ዘ ግ ቧ ል |	191040	MALE
276	16826428558387632893.wav	በተወካዩ ክሊፍ ስተርንስ እየተካሄደ ያለውን የታቀደ ወላጅነት እንዴት ገንዘቡን እንደሚያወጣ እና ሪፖርት ማድረግ እንዳለበት በመጠባበቅ ላይ ባለ ምርመራ ምክንያት የኮሜን ፖሊሲ የታቀደ ወላጅነትን ሰረዘ፡፡	በተወካዩ ክሊፍ ስተርንስ እየተካሄደ ያለውን የታቀደ ወላጅነት እንዴት ገንዘቡን እንደሚያወጣ እና ሪፖርት ማድረግ እንዳለበት በመጠባበቅ ላይ ባለ ምርመራ ምክንያት የኮሜን ፖሊሲ የታቀደ ወላጅነትን ሰረዘ	በ ተ ወ ካ ዩ | ክ ሊ ፍ | ስ ተ ር ን ስ | እ የ ተ ካ ሄ ደ | ያ ለ ው ን | የ ታ ቀ ደ | ወ ላ ጅ ነ ት | እ ን ዴ ት | ገ ን ዘ ቡ ን | እ ን ደ ሚ ያ ወ ጣ | እ ና | ሪ ፖ ር ት | ማ ድ ረ ግ | እ ን ዳ ለ በ ት | በ መ ጠ ባ በ ቅ | ላ ይ | ባ ለ | ም ር መ ራ | ም ክ ን ያ ት | የ ኮ ሜ ን | ፖ ሊ ሲ | የ ታ ቀ ደ | ወ ላ ጅ ነ ት ን | ሰ ረ ዘ |	243840	FEMALE
754	15507586386649315235.wav	በመኪና ካምፕ ማድረግ የሚቻለው መቀመጫቸው ወደ ኋላ የሚንሸራተት ሚኒቫን፣ ኤስዩቪ፣ የቤተሰብ ታክሲ ወይም ስቴሽንስ ዋገን ያስፈልግዎታል።	በመኪና ካምፕ ማድረግ የሚቻለው መቀመጫቸው ወደ ኋላ የሚንሸራተት ሚኒቫን ኤስዩቪ የቤተሰብ ታክሲ ወይም ስቴሽንስ ዋገን ያስፈልግዎታል	በ መ ኪ ና | ካ ም ፕ | ማ ድ ረ ግ | የ ሚ ቻ ለ ው | መ ቀ መ ጫ ቸ ው | ወ ደ | ኋ ላ | የ ሚ ን ሸ ራ ተ ት | ሚ ኒ ቫ ን | ኤ ስ ዩ ቪ | የ ቤ ተ ሰ ብ | ታ ክ ሲ | ወ ይ ም | ስ ቴ ሽ ን ስ | ዋ ገ ን | ያ ስ ፈ ል ግ ዎ ታ ል |	210240	FEMALE
1125	682222871676087315.wav	አከባቢዎቹ ጥቂት የሰፈሩ ሰዎች ስላሉበት፣ እና የብርሃን ብክለት ብዙውን ጊዜ ችግር ስለማይሆን፣ በከዋክብትም መደሰት ይችላሉ።	አከባቢዎቹ ጥቂት የሰፈሩ ሰዎች ስላሉበት እና የብርሃን ብክለት ብዙውን ጊዜ ችግር ስለማይሆን በከዋክብትም መደሰት ይችላሉ	አ ከ ባ ቢ ዎ ቹ | ጥ ቂ ት | የ ሰ ፈ ሩ | ሰ ዎ ች | ስ ላ ሉ በ ት | እ ና | የ ብ ር ሃ ን | ብ ክ ለ ት | ብ ዙ ው ን | ጊ ዜ | ች ግ ር | ስ ለ ማ ይ ሆ ን | በ ከ ዋ ክ ብ ት ም | መ ደ ሰ ት | ይ ች ላ ሉ |	178560	FEMALE
560	8593711978477027276.wav	ፕሮቶንስ ፖዘቲቭ የኤሌክትሪክ ሀይል ሲኖራቸው ኒውትሮንስ ደግሞ ምንም ሀይል የላቸውም። ኤሌክትሮንስ ኔጌቲቭ የኤሌክትሪክ ሀይል አላቸው።	ፕሮቶንስ ፖዘቲቭ የኤሌክትሪክ ሀይል ሲኖራቸው ኒውትሮንስ ደግሞ ምንም ሀይል የላቸውም ኤሌክትሮንስ ኔጌቲቭ የኤሌክትሪክ ሀይል አላቸው	ፕ ሮ ቶ ን ስ | ፖ ዘ ቲ ቭ | የ ኤ ሌ ክ ት ሪ ክ | ሀ ይ ል | ሲ ኖ ራ ቸ ው | ኒ ው ት ሮ ን ስ | ደ ግ ሞ | ም ን ም | ሀ ይ ል | የ ላ ቸ ው ም | ኤ ሌ ክ ት ሮ ን ስ | ኔ ጌ ቲ ቭ | የ ኤ ሌ ክ ት ሪ ክ | ሀ ይ ል | አ ላ ቸ ው |	237120	MALE
929	11302319196093268306.wav	በአሁኑ ጊዜ የዋጋ መፈለጊያዎችን እና ማነፃፀሪያዎችን ሳያስቀድም የአየር ጉዞ በቀጥታ በአየር መንገዱ በኩል ብቻ መደረጉ የተወሰነ ነው።	በአሁኑ ጊዜ የዋጋ መፈለጊያዎችን እና ማነፃፀሪያዎችን ሳያስቀድም የአየር ጉዞ በቀጥታ በአየር መንገዱ በኩል ብቻ መደረጉ የተወሰነ ነው	በ አ ሁ ኑ | ጊ ዜ | የ ዋ ጋ | መ ፈ ለ ጊ ያ ዎ ች ን | እ ና | ማ ነ ፃ ፀ ሪ ያ ዎ ች ን | ሳ ያ ስ ቀ ድ ም | የ አ የ ር | ጉ ዞ | በ ቀ ጥ ታ | በ አ የ ር | መ ን ገ ዱ | በ ኩ ል | ብ ቻ | መ ደ ረ ጉ | የ ተ ወ ሰ ነ | ነ ው |	162240	FEMALE
881	2761344019992866695.wav	እነዚህ መስፈርቶች ተጓዙ የጉበኛቸው ሃገሮች ላይ እና ሊጎበኛቸው ያሰባቸው ሀገራት ላይ ሊመሠረት ይችላል።	እነዚህ መስፈርቶች ተጓዙ የጉበኛቸው ሃገሮች ላይ እና ሊጎበኛቸው ያሰባቸው ሀገራት ላይ ሊመሠረት ይችላል	እ ነ ዚ ህ | መ ስ ፈ ር ቶ ች | ተ ጓ ዙ | የ ጉ በ ኛ ቸ ው | ሃ ገ ሮ ች | ላ ይ | እ ና | ሊ ጎ በ ኛ ቸ ው | ያ ሰ ባ ቸ ው | ሀ ገ ራ ት | ላ ይ | ሊ መ ሠ ረ ት | ይ ች ላ ል |	181440	MALE
492	7155069227784073170.wav	የኢንዱስ ሸለቆ ስልጣኔ የአሁኑን ፓኪስታን እና በሰሜን ምዕራብ ህንድ እና ሰሜን ምስራቅ አፍጋኒስታን አንዳንድ ክልሎችን ያጠቃለለ የሰሜን ምዕራብ ህንድ ክፍለ-አህጉር ውስጥ የነሃስ ዘመን ስልጣኔ ነው።	የኢንዱስ ሸለቆ ስልጣኔ የአሁኑን ፓኪስታን እና በሰሜን ምዕራብ ህንድ እና ሰሜን ምስራቅ አፍጋኒስታን አንዳንድ ክልሎችን ያጠቃለለ የሰሜን ምዕራብ ህንድ ክፍለ-አህጉር ውስጥ የነሃስ ዘመን ስልጣኔ ነው	የ ኢ ን ዱ ስ | ሸ ለ ቆ | ስ ል ጣ ኔ | የ አ ሁ ኑ ን | ፓ ኪ ስ ታ ን | እ ና | በ ሰ ሜ ን | ም ዕ ራ ብ | ህ ን ድ | እ ና | ሰ ሜ ን | ም ስ ራ ቅ | አ ፍ ጋ ኒ ስ ታ ን | አ ን ዳ ን ድ | ክ ል ሎ ች ን | ያ ጠ ቃ ለ ለ | የ ሰ ሜ ን | ም ዕ ራ ብ | ህ ን ድ | ክ ፍ ለ - አ ህ ጉ ር | ው ስ ጥ | የ ነ ሃ ስ | ዘ መ ን | ስ ል ጣ ኔ | ነ ው |	264000	MALE
908	5053782728208212790.wav	እነሱ በመደበኛነት ከፍተኛ የመተላለፊያ ይዘትን እና የተሻለ የአገልግሎት ጥራት ይሰጣሉ። እነሱ የተመሰጠሩ እና ለዚህም ለመሰለል በጣም ከባድ ናቸው።	እነሱ በመደበኛነት ከፍተኛ የመተላለፊያ ይዘትን እና የተሻለ የአገልግሎት ጥራት ይሰጣሉ እነሱ የተመሰጠሩ እና ለዚህም ለመሰለል በጣም ከባድ ናቸው	እ ነ ሱ | በ መ ደ በ ኛ ነ ት | ከ ፍ ተ ኛ | የ መ ተ ላ ለ ፊ ያ | ይ ዘ ት ን | እ ና | የ ተ ሻ ለ | የ አ ገ ል ግ ሎ ት | ጥ ራ ት | ይ ሰ ጣ ሉ | እ ነ ሱ | የ ተ መ ሰ ጠ ሩ | እ ና | ለ ዚ ህ ም | ለ መ ሰ ለ ል | በ ጣ ም | ከ ባ ድ | ና ቸ ው |	298560	MALE
843	6571690996205243913.wav	በመጀመሪያ ነገር፣ በሰሜናዊው New Mexico ጉልህ የሆነ ጠትቶ የማሽከርከር ችግሮች ያለ ሲሆን በአልኮል ተፅዕኖ ያሉ አሽከርካሪዎች ብዛት ከፍተኛ ከመሆኑ የተነሳ የትንሽ ከተማ ግሮሰሪዎች ጋር ይደርሳል።	በመጀመሪያ ነገር በሰሜናዊው new mexico ጉልህ የሆነ ጠትቶ የማሽከርከር ችግሮች ያለ ሲሆን በአልኮል ተፅዕኖ ያሉ አሽከርካሪዎች ብዛት ከፍተኛ ከመሆኑ የተነሳ የትንሽ ከተማ ግሮሰሪዎች ጋር ይደርሳል	በ መ ጀ መ ሪ ያ | ነ ገ ር | በ ሰ ሜ ና ዊ ው | n e w | m e x i c o | ጉ ል ህ | የ ሆ ነ | ጠ ት ቶ | የ ማ ሽ ከ ር ከ ር | ች ግ ሮ ች | ያ ለ | ሲ ሆ ን | በ አ ል ኮ ል | ተ ፅ ዕ ኖ | ያ ሉ | አ ሽ ከ ር ካ ሪ ዎ ች | ብ ዛ ት | ከ ፍ ተ ኛ | ከ መ ሆ ኑ | የ ተ ነ ሳ | የ ት ን ሽ | ከ ተ ማ | ግ ሮ ሰ ሪ ዎ ች | ጋ ር | ይ ደ ር ሳ ል |	249600	FEMALE
